source,target
User_Interface,API_Gateway
API_Gateway,Auth_Service
Auth_Service,User_Database
API_Gateway,Request_Router
Request_Router,Order_Service
Order_Service,Order_Database
Order_Service,Inventory_Service
Inventory_Service,Inventory_Database
Order_Service,Payment_Service
Payment_Service,Payment_Gateway
Payment_Gateway,Bank_API
Payment_Service,Transaction_Log
Transaction_Log,Audit_Service
Audit_Service,Compliance_Engine
Compliance_Engine,Reporting_Service
Reporting_Service,Analytics_Dashboard

API_Gateway,Customer_Service
Customer_Service,Customer_Database
Customer_Service,Notification_Service
Notification_Service,Email_Service
Notification_Service,SMS_Service
Notification_Service,Push_Service

API_Gateway,Product_Service
Product_Service,Product_Catalog
Product_Service,Search_Service
Search_Service,Search_Index

Order_Service,Shipping_Service
Shipping_Service,Carrier_API
Shipping_Service,Tracking_Service
Tracking_Service,Notification_Service

Data_Ingestion,Raw_Data_Store
Raw_Data_Store,Data_Cleansing
Data_Cleansing,Data_Validation
Data_Validation,Feature_Engineering
Feature_Engineering,Feature_Store
Feature_Store,Model_Training
Model_Training,Model_Evaluation
Model_Evaluation,Model_Registry
Model_Registry,Model_Deployment
Model_Deployment,Inference_Service
Inference_Service,API_Gateway
Inference_Service,Monitoring_Service
Monitoring_Service,Alerting_Service
Alerting_Service,Ops_Dashboard

Logs_Service,Central_Logging
Central_Logging,Security_Analytics
Security_Analytics,Threat_Detection
Threat_Detection,Incident_Response
Incident_Response,Ops_Team

Backup_Service,Object_Storage
Object_Storage,Disaster_Recovery
Disaster_Recovery,Failover_Service
Failover_Service,API_Gateway
